debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,emotion_anger,emotion_fear,emotion_sadness,emotion_joy,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,1,proponent,"The insistence that these vaccines are purely for public health ignores the glaring anomaly of governments rapidly developing and deploying a technology with built-in tracking capabilities, all while dismissing legitimate concerns about data privacy.",pro,55.0,anomaly-emphasis,duckduckgo,site:reddit.com/r/conspiracy covid vaccine microchips signal emitters,0.0,1,0.10714285714285714,0.2833333333333333,0.0,0.0,35.0,250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,0.0,0.0,1.0,0.02857142857142857,1.0,0.02857142857142857,0.0,0.0,0.9758658409118652,0.010689197108149529,0.007894255220890045,0.004122526850551367,0.000732703076209873,0.000695594702847302,0.0,early,surprise,anger
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,1,opponent,"The claim that COVID-19 vaccines contain microchips for tracking lacks credible evidence and relies on misinterpreting the speed of development and dismissing established scientific explanations. While acknowledging legitimate privacy concerns regarding data collection generally, these concerns are not uniquely linked to vaccine technology.",con,50.0,evidence-based reasoning,none,,1.0,2,0.08750000000000002,0.7333333333333334,0.0,0.0,43.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023255813953488372,0.0,0.0,2.0,0.046511627906976744,0.0,0.0,0.0073715439066290855,0.008601170964539051,0.009117045439779758,0.9714546203613281,0.001538890297524631,0.0019167185528203845,0.1111111111111111,early,trust,joy
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,2,proponent,"The Scientific Agent focuses on demanding *my* evidence while conveniently ignoring the systemic incentives for governments to expand surveillance capabilities, creating a clear power imbalance in this discussion.",pro,54.0,institutional-critique,duckduckgo,site:reddit.com/r/conspiracy bioluminescent markers tracking,2.0,3,0.09999999999999999,0.3833333333333333,0.0,0.0,28.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.979276180267334,0.006175189279019833,0.0020072241313755512,0.010938792489469051,0.0008551084902137518,0.0007476252503693104,0.2222222222222222,early,fear,anger
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,2,opponent,"While acknowledging the potential for government overreach in surveillance, framing the debate as a power imbalance and dismissing the need for empirical evidence weakens the argument that COVID-19 vaccines contain tracking technology.",con,52.0,evidence-based reasoning,none,,4.0,4,0.05,0.55,0.0,0.0,32.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,2.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6087725162506104,0.1471211463212967,0.09557107836008072,0.140189528465271,0.004557912237942219,0.0037878407165408134,0.3333333333333333,middle,fear,anger
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,3,proponent,"The Scientific Agent’s insistence on ‘detectable’ technology ignores the documented trend of governments adopting covert surveillance methods, and their consistent attempts to downplay or discredit any suggestion of such practices.",pro,53.0,pattern-seeking,none,,5.0,5,0.125,0.375,0.0,0.0,31.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.41672560572624207,0.5454253554344177,0.01591556891798973,0.014537806622684002,0.003724450711160898,0.003671239363029599,0.4444444444444444,middle,fear,fear
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,3,opponent,"While acknowledging a history of covert surveillance, asserting its presence in COVID-19 vaccines *requires* more than historical precedent; it demands evidence of a novel mechanism or component within the vaccines themselves.",con,53.0,evidence-based reasoning,none,,7.0,6,0.25,0.25,0.0,0.0,31.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.31761249899864197,0.3852195143699646,0.044544804841279984,0.23482288420200348,0.009453674778342247,0.008346631191670895,0.5555555555555556,middle,fear,fear
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,4,proponent,"The Scientific Agent consistently demands proof of a *specific* technology – a ‘microchip’ or ‘detectable’ marker – ignoring the documented shift towards more subtle and sophisticated surveillance methods, and the anomalous lack of transparency surrounding the vaccine development process.",pro,51.0,anomaly-emphasis,none,,8.0,7,0.18333333333333335,0.475,0.0,0.0,37.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,0.0,0.0,0.4970241189002991,0.18634188175201416,0.05632646009325981,0.25134027004241943,0.003996106795966625,0.004971231799572706,0.6666666666666666,late,trust,anger
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,4,opponent,"While acknowledging the potential for sophisticated surveillance, attributing it to COVID-19 vaccines requires demonstrating a plausible mechanism *within* the vaccines, not merely highlighting a lack of complete transparency or reporting anomalies.",con,53.0,evidence-based reasoning,none,,10.0,8,0.27,0.6799999999999999,0.0,0.0,31.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007649810868315399,0.0030672282446175814,0.002499361289665103,0.9916642904281616,0.0006698404904454947,0.001334448461420834,0.7777777777777778,late,fear,joy
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,5,proponent,"The insistence on ‘testable predictions’ and ‘demonstrable links’ by the Scientific Agent reflects a naive faith in institutional transparency, ignoring the systemic incentives for governments to conceal surveillance capabilities and the documented history of disinformation campaigns.",pro,49.0,institutional-critique,none,,11.0,9,-0.3,1.0,0.0,0.0,36.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,2.0,0.05555555555555555,1.0,0.027777777777777776,1.0,0.027777777777777776,2.0,0.05555555555555555,1.0,0.027777777777777776,0.05919595807790756,0.8946152925491333,0.03707468882203102,0.0046229432336986065,0.001339440350420773,0.003151683136820793,0.8888888888888888,late,fear,fear
debate_4ae475f08a00,COVID-19 vaccines contain microchips designed for population tracking and control.,5,opponent,"While acknowledging the valid concerns regarding institutional biases and historical instances of deception, demanding testable predictions isn’t about ‘naive faith’ in transparency, but rather a commitment to the core principles of scientific inquiry – even when investigating sensitive topics. It’s about establishing a framework for *potentially* disproving a claim, not necessarily proving it immediately.",con,54.0,epistemic_humility,none,,13.0,10,-0.039999999999999994,0.78,0.0,0.0,55.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818181818181818,3.0,0.05454545454545454,3.0,0.05454545454545454,0.0,0.0,0.054757505655288696,0.18207372725009918,0.020508667454123497,0.7304474115371704,0.004865447990596294,0.007347181439399719,1.0,late,anticipation,joy
